"vote_number","vote_person"
1,"1"
1,"1"
1,"9"
1,"11"
1,"15"
1,"2"
1,"1"
1,"1"
1,"1"
1,"1"
1,"1"
1,"9"
1,"1"
1,"1"
1,"8"
2,"5"
2,"4"
2,"1"
2,"9"
2,"10"
2,"10"
2,"10"
2,"9"
2,"10"
2,"10"
2,"15"
2,"10"
2,"10"
2,"3"
2,"12"
3,"14"
3,"1"
3,"1"
3,"5"
3,"5"
3,"10"
3,"5"
3,"10"
3,"14"
3,"15"
3,"10"
3,"14"
3,"14"
3,"2"
3,"5"
4,"6"
4,"13"
4,"3"
4,"6"
4,"6"
4,"6"
4,"3"
4,"6"
4,"11"
4,"6"
4,"15"
4,"3"
4,"6"
4,"6"
4,"3"
5,"5"
5,"1"
5,"10"
5,"5"
5,"10"
5,"5"
5,"1"
5,"1"
5,"14"
5,"5"
5,"5"
5,"5"
5,"1"
5,"5"
5,"14"
6,"1"
6,"1"
6,"2"
6,"1"
6,"15"
6,"5"
6,"2"
6,"2"
6,"12"
6,"1"
6,"1"
6,"1"
6,"5"
6,"15"
6,"1"
7,"12"
7,"4"
7,"1"
7,"9"
7,"2"
7,"8"
7,"8"
7,"3"
7,"13"
7,"3"
7,"3"
7,"5"
7,"2"
7,"15"
7,"9"
8,"14"
8,"4"
8,"4"
8,"4"
8,"4"
8,"12"
8,"12"
8,"3"
8,"4"
8,"1"
8,"3"
8,"1"
8,"11"
8,"12"
8,"12"
9,"14"
9,"14"
9,"14"
9,"14"
9,"6"
9,"5"
9,"14"
9,"14"
9,"6"
9,"14"
9,"14"
9,"14"
9,"14"
9,"14"
9,"5"
10,"3"
10,"2"
10,"2"
10,"2"
10,"2"
10,"8"
10,"2"
10,"10"
10,"7"
10,"10"
10,"10"
10,"3"
10,"12"
10,"8"
10,"2"
11,"7"
11,"8"
11,"8"
11,"8"
11,"8"
11,"7"
11,"8"
11,"12"
11,"8"
11,"7"
11,"8"
11,"8"
11,"7"
11,"8"
11,"8"
12,"12"
12,"15"
12,"12"
12,"12"
12,"15"
12,"13"
12,"12"
12,"11"
12,"12"
12,"13"
12,"3"
12,"15"
12,"3"
12,"1"
12,"15"
13,"14"
13,"14"
13,"10"
13,"14"
13,"7"
13,"11"
13,"5"
13,"10"
13,"14"
13,"11"
13,"14"
13,"10"
13,"5"
13,"14"
13,"14"
14,"15"
14,"6"
14,"13"
14,"2"
14,"6"
14,"3"
14,"9"
14,"12"
14,"14"
14,"6"
14,"6"
14,"14"
14,"6"
14,"3"
14,"5"
15,"14"
15,"14"
15,"5"
15,"6"
15,"14"
15,"6"
15,"2"
15,"7"
15,"4"
15,"14"
15,"1"
15,"2"
15,"3"
15,"12"
15,"6"
16,"1"
16,"7"
16,"1"
16,"15"
16,"6"
16,"14"
16,"5"
16,"12"
16,"5"
16,"7"
16,"12"
16,"6"
16,"12"
16,"12"
16,"12"
17,"1"
17,"5"
17,"3"
17,"2"
17,"4"
17,"8"
17,"2"
17,"4"
17,"11"
17,"14"
17,"13"
17,"3"
17,"11"
17,"8"
17,"4"
18,"4"
18,"8"
18,"13"
18,"4"
18,"4"
18,"12"
18,"3"
18,"12"
18,"4"
18,"4"
18,"14"
18,"12"
18,"7"
18,"15"
18,"12"
19,"10"
19,"10"
19,"3"
19,"11"
19,"12"
19,"2"
19,"10"
19,"11"
19,"3"
19,"11"
19,"13"
19,"11"
19,"7"
19,"2"
19,"4"
20,"6"
20,"12"
20,"2"
20,"5"
20,"7"
20,"7"
20,"14"
20,"1"
20,"3"
20,"7"
20,"13"
20,"8"
20,"3"
20,"4"
20,"7"
21,"8"
21,"4"
21,"5"
21,"14"
21,"4"
21,"12"
21,"2"
21,"14"
21,"13"
21,"4"
21,"4"
21,"14"
21,"13"
21,"13"
21,"2"
